######################     START OF THE TEST    ###################### -2015-10-07 17:47:32,459 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-07 17:47:48,189 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_03                     -2015-10-07 17:47:48,189 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-07 17:47:51,605 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_01 -2015-10-07 17:49:15,102 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-07 17:49:15,119 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-07 17:49:15,119 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-07 17:49:16,723 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-07 17:49:16,723 - com.quickride.baselib.QRTestngListener - INFO
