######################     START OF THE TEST    ###################### -2015-10-08 18:00:13,091 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 18:00:25,438 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_06                     -2015-10-08 18:00:25,438 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 18:00:28,460 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 18:00:48,029 - com.quickride.baselib.QRTestngListener - INFO
Quick Ride app is closed -2015-10-08 18:00:48,950 - com.quickride.baselib.QRTestngListener - INFO
Quick Ride app is launched successfully again -2015-10-08 18:01:04,070 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	PASSED                     -2015-10-08 18:01:04,073 - com.quickride.baselib.QRTestngListener - INFO
___________________________________________________ -2015-10-08 18:01:04,073 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 18:01:05,230 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 18:01:05,230 - com.quickride.baselib.QRTestngListener - INFO
