######################     START OF THE TEST    ###################### -2015-10-08 14:43:32,924 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 14:43:47,342 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 14:43:47,342 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 14:43:50,887 - com.quickride.baselib.QRTestngListener - INFO
Exception in  login() -2015-10-08 14:44:34,217 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 14:44:34,241 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 14:44:34,242 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 14:44:35,260 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 14:44:35,260 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 14:44:36,470 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 14:44:36,470 - com.quickride.baselib.QRTestngListener - INFO
