######################     START OF THE TEST    ###################### -2015-10-08 16:04:22,685 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 16:04:35,445 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 16:04:35,445 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 16:04:38,523 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 16:04:56,566 - com.quickride.baselib.QRTestngListener - INFO
Exception in  logout() -2015-10-08 16:06:09,083 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 16:06:09,106 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:06:09,106 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 16:06:10,119 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:06:10,119 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 16:06:11,298 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 16:06:11,298 - com.quickride.baselib.QRTestngListener - INFO
