######################     START OF THE TEST    ###################### -2015-10-08 16:14:07,969 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 16:14:21,162 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 16:14:21,162 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 16:14:24,023 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 16:14:42,781 - com.quickride.baselib.QRTestngListener - INFO
Exception in  logout() -2015-10-08 16:14:53,631 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 16:14:53,648 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:14:53,648 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 16:14:54,677 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:14:54,677 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 16:14:55,894 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 16:14:55,894 - com.quickride.baselib.QRTestngListener - INFO
