######################     START OF THE TEST    ###################### -2015-10-08 15:39:07,805 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 15:39:20,696 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 15:39:20,697 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 15:39:24,159 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 15:39:43,584 - com.quickride.baselib.QRTestngListener - INFO
Exception in  logout() -2015-10-08 15:40:23,709 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 15:40:23,730 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 15:40:23,730 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 15:40:24,748 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 15:40:24,748 - com.quickride.baselib.QRTestngListener - INFO
