######################     START OF THE TEST    ###################### -2015-10-08 14:48:28,118 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 14:48:40,956 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 14:48:40,956 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 14:48:43,971 - com.quickride.baselib.QRTestngListener - INFO
Exception in  login() -2015-10-08 14:49:48,036 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 14:49:48,055 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 14:49:48,056 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 14:49:48,078 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 14:49:48,078 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 14:49:48,339 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 14:49:48,339 - com.quickride.baselib.QRTestngListener - INFO
