######################     START OF THE TEST    ###################### -2015-10-08 14:54:00,920 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 14:54:13,390 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 14:54:13,391 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 14:54:16,949 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 14:54:58,370 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_05 -2015-10-08 14:55:39,401 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 14:55:39,419 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 14:55:39,419 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 14:55:40,440 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 14:55:40,441 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 14:55:41,627 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 14:55:41,627 - com.quickride.baselib.QRTestngListener - INFO
