######################     START OF THE TEST    ###################### -2015-10-08 16:21:37,693 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 16:21:50,820 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 16:21:50,820 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 16:21:54,278 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 16:22:12,567 - com.quickride.baselib.QRTestngListener - INFO
Exception in  logout() -2015-10-08 16:22:24,397 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 16:22:24,423 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:22:24,423 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 16:22:25,446 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:22:25,446 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 16:22:26,638 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 16:22:26,638 - com.quickride.baselib.QRTestngListener - INFO
