######################     START OF THE TEST    ###################### -2015-10-07 17:30:16,605 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-07 17:30:29,219 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_03                     -2015-10-07 17:30:29,219 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-07 17:30:32,662 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_01 -2015-10-07 17:30:38,397 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-07 17:30:38,447 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-07 17:30:38,447 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-07 17:30:39,966 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-07 17:30:39,966 - com.quickride.baselib.QRTestngListener - INFO
