######################     START OF THE TEST    ###################### -2015-10-08 15:59:19,366 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 15:59:32,390 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 15:59:32,391 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 15:59:35,451 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 15:59:53,968 - com.quickride.baselib.QRTestngListener - INFO
Exception in  logout() -2015-10-08 16:00:18,160 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 16:00:18,184 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:00:18,184 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	FAILED                     -2015-10-08 16:00:19,197 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 16:00:19,197 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 16:00:20,383 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 16:00:20,383 - com.quickride.baselib.QRTestngListener - INFO
