######################     START OF THE TEST    ###################### -2015-10-07 15:23:53,410 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-07 15:24:12,342 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_01                     -2015-10-07 15:24:12,343 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-07 15:24:15,299 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is not displayed -2015-10-07 15:25:45,311 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-07 15:25:45,334 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-07 15:25:45,335 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-07 15:25:46,975 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-07 15:25:46,975 - com.quickride.baselib.QRTestngListener - INFO
