######################     START OF THE TEST    ###################### -2015-10-08 12:24:24,441 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 12:24:40,615 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_01                     -2015-10-08 12:24:40,615 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-08 12:24:44,144 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_01 -2015-10-08 12:26:06,323 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 12:26:06,341 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 12:26:06,341 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 12:26:07,984 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 12:26:07,984 - com.quickride.baselib.QRTestngListener - INFO
