######################     START OF THE TEST    ###################### -2015-10-08 12:07:45,799 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 12:07:59,578 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_01                     -2015-10-08 12:07:59,579 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-08 12:08:02,512 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_01 -2015-10-08 12:08:21,714 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 12:08:21,730 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 12:08:21,731 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 12:08:23,487 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 12:08:23,487 - com.quickride.baselib.QRTestngListener - INFO
