######################     START OF THE TEST    ###################### -2015-10-08 11:55:40,303 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 11:55:53,606 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_01                     -2015-10-08 11:55:53,606 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-08 11:55:56,548 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_01 -2015-10-08 11:56:16,142 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 11:56:16,156 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 11:56:16,156 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 11:56:29,574 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_03                     -2015-10-08 11:56:29,574 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-08 11:56:33,167 - com.quickride.baselib.QRTestngListener - INFO
