######################     START OF THE TEST    ###################### -2015-10-08 12:10:31,153 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 12:10:43,571 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_01                     -2015-10-08 12:10:43,572 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-08 12:10:46,952 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_01 -2015-10-08 12:11:06,989 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 12:11:07,009 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 12:11:07,009 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 12:11:08,724 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 12:11:08,724 - com.quickride.baselib.QRTestngListener - INFO
