######################     START OF THE TEST    ###################### -2015-10-07 17:04:17,561 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-07 17:04:32,088 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_01                     -2015-10-07 17:04:32,089 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-07 17:04:35,483 - com.quickride.baselib.QRTestngListener - INFO
Sign Up is completed -2015-10-07 17:05:01,147 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	PASSED                     -2015-10-07 17:05:01,148 - com.quickride.baselib.QRTestngListener - INFO
___________________________________________________ -2015-10-07 17:05:01,148 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-07 17:05:15,460 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_02                     -2015-10-07 17:05:15,460 - com.quickride.baselib.QRTestngListener - INFO
SignUp button is displayed -2015-10-07 17:05:18,605 - com.quickride.baselib.QRTestngListener - INFO
Exception in  case testNewUserRG_01 -2015-10-07 17:06:37,596 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-07 17:06:37,638 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-07 17:06:37,638 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-07 17:06:39,380 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-07 17:06:39,380 - com.quickride.baselib.QRTestngListener - INFO
