######################     START OF THE TEST    ###################### -2015-10-08 15:26:00,101 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-10-08 15:26:13,213 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserRG_05                     -2015-10-08 15:26:13,213 - com.quickride.baselib.QRTestngListener - INFO
Login button is displayed -2015-10-08 15:26:16,603 - com.quickride.baselib.QRTestngListener - INFO
Login is completed -2015-10-08 15:26:35,063 - com.quickride.baselib.QRTestngListener - INFO
Exception in  logout() -2015-10-08 15:27:36,735 - com.quickride.baselib.QRTestngListener - ERROR
TEST STATUS  =   	FAILED                     -2015-10-08 15:27:36,750 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-10-08 15:27:36,751 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-10-08 15:27:38,608 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-10-08 15:27:38,608 - com.quickride.baselib.QRTestngListener - INFO
